order_id,customer_id,order_ts,status,currency,order_total
5032,19,2025-03-25T00:00:00.000000000,paid,USD,19.99
5033,6,2025-03-30T00:00:00.000000000,cancelled,USD,"14,50"
5034,99999,2025-03-07T00:00:00.000000000,shipped,USD,100.00
5035,13,2025-03-15T00:00:00.000000000,shipped,EUR,"14,50"
5036,4,2025-03-19T00:00:00.000000000,created,USD,"14,50"
5037,11,2025-03-16T00:00:00.000000000,shipped,TRY,"14,50"
5038,6,2025-03-03T00:00:00.000000000,created,USD,100.00
5039,14,2025-03-14T00:00:00.000000000,shipped,EUR,"49,99"
5040,9,2025-03-21T00:00:00.000000000,shipped,EUR,19.99
5041,7,2025-03-18T00:00:00.000000000,shipped,USD,100.00
5042,15,2025-03-15T00:00:00.000000000,paid,USD,"14,50"
5043,1,2025-03-03T00:00:00.000000000,paid,TRY,"14,50"
5044,4,2025-03-10T00:00:00.000000000,created,TRY,"49,99"
5045,18,2025-03-26T00:00:00.000000000,paid,EUR,"49,99"
5046,18,2025-03-05T00:00:00.000000000,created,EUR,"49,99"
5047,16,2025-03-18T00:00:00.000000000,paid,TRY,100.00
5048,15,2025-03-04T00:00:00.000000000,paid,EUR,100.00
5049,6,2025-03-21T00:00:00.000000000,paid,USD,"49,99"
5050,17,2025-03-04T00:00:00.000000000,paid,EUR,100.00
5051,2,2025-03-27T00:00:00.000000000,created,EUR,"49,99"
5052,8,2025-03-25T00:00:00.000000000,shipped,EUR,"14,50"
5053,10,2025-03-07T00:00:00.000000000,paid,EUR,19.99
5054,7,2025-03-28T00:00:00.000000000,paid,EUR,100.00
5055,17,2025-03-18T00:00:00.000000000,shipped,EUR,"14,50"
5056,19,2025-03-19T00:00:00.000000000,cancelled,EUR,19.99
5057,3,2025-03-15T00:00:00.000000000,paid,EUR,"14,50"
5058,9,2025-03-30T00:00:00.000000000,paid,EUR,"49,99"
5059,17,2025-03-23T00:00:00.000000000,paid,EUR,100.00
5060,12,2025-03-19T00:00:00.000000000,paid,EUR,100.00
5061,9,2025-03-29T00:00:00.000000000,paid,EUR,19.99
5062,6,2025-03-09T00:00:00.000000000,shipped,EUR,19.99
5063,13,2025-03-15T00:00:00.000000000,paid,EUR,"14,50"
5064,3,2025-03-05T00:00:00.000000000,paid,TRY,19.99
5065,15,2025-03-18T00:00:00.000000000,shipped,USD,"49,99"
5066,15,2025-03-20T00:00:00.000000000,paid,EUR,"49,99"
5067,17,2025-03-03T00:00:00.000000000,created,EUR,19.99
5068,1,2025-03-06T00:00:00.000000000,cancelled,TRY,19.99
5069,3,2025-03-04T00:00:00.000000000,paid,EUR,19.99
5070,4,2025-03-11T00:00:00.000000000,shipped,EUR,100.00
5071,17,2025-03-25T00:00:00.000000000,paid,EUR,"14,50"
5072,8,2025-03-25T00:00:00.000000000,paid,TRY,"14,50"
5073,18,2025-03-07T00:00:00.000000000,paid,EUR,"14,50"
5074,13,2025-03-17T00:00:00.000000000,created,USD,"49,99"
5075,11,2025-03-13T00:00:00.000000000,paid,USD,"49,99"
5076,13,2025-03-22T00:00:00.000000000,paid,TRY,"14,50"
5077,20,2025-03-14T00:00:00.000000000,paid,EUR,"49,99"
5078,15,2025-03-22T00:00:00.000000000,created,EUR,19.99
5079,11,2025-03-24T00:00:00.000000000,shipped,TRY,19.99
5080,4,2025-03-04T00:00:00.000000000,created,EUR,"49,99"
5081,99999,2025-03-14T00:00:00.000000000,paid,USD,19.99
5082,10,2025-03-24T00:00:00.000000000,paid,EUR,100.00
5083,11,2025-03-07T00:00:00.000000000,shipped,TRY,"49,99"
5084,13,2025-03-18T00:00:00.000000000,shipped,EUR,19.99
5085,99999,2025-03-25T00:00:00.000000000,paid,EUR,"14,50"
5086,2,2025-03-24T00:00:00.000000000,shipped,USD,100.00
5087,15,2025-03-16T00:00:00.000000000,shipped,EUR,100.00
5088,14,2025-03-29T00:00:00.000000000,paid,EUR,19.99
5089,8,2025-03-18T00:00:00.000000000,paid,USD,100.00
5090,15,2025-03-09T00:00:00.000000000,shipped,USD,19.99
5091,19,2025-03-23T00:00:00.000000000,paid,EUR,"49,99"
5092,12,2025-03-18T00:00:00.000000000,paid,USD,"14,50"
5093,16,2025-03-15T00:00:00.000000000,paid,EUR,"14,50"
5094,16,2025-03-13T00:00:00.000000000,paid,EUR,100.00
5095,15,2025-03-10T00:00:00.000000000,paid,EUR,100.00
5096,14,2025-03-08T00:00:00.000000000,shipped,EUR,"14,50"
5097,9,2025-03-01T00:00:00.000000000,paid,EUR,"49,99"
5098,3,2025-03-06T00:00:00.000000000,created,EUR,100.00
5099,6,2025-03-22T00:00:00.000000000,cancelled,EUR,"49,99"
5100,17,2025-03-18T00:00:00.000000000,paid,TRY,"49,99"
